iter	RMSE
0	1.315308636
1	1.205438132
2	1.112028253
3	1.032646839
4	0.9537941367
5	0.8940363684
6	0.8355475259
7	0.7819721497
8	0.7318557523
9	0.689274259
10	0.6473116707
11	0.6118020936
12	0.5788082769
13	0.5542199625
14	0.5325123178
15	0.512424811
16	0.4928367916
17	0.4766619496
18	0.4618856786
19	0.446536625
20	0.4315407906
21	0.4175577367
22	0.4081331017
23	0.3975837686
24	0.3871134466
25	0.3767970509
26	0.3686114401
27	0.3610713309
28	0.3546891633
29	0.3495627019
30	0.3432624445
31	0.3379147891
32	0.3329860841
33	0.3292074744
34	0.3261354013
35	0.3226805618
36	0.3189188143
37	0.3161501829
38	0.3130848601
39	0.3101701268
40	0.307338118
41	0.3044811713
42	0.3026309029
43	0.3003842531
44	0.2989576633
45	0.296600256
46	0.2953326963
47	0.2942467443
48	0.2929375315
49	0.2913296722
50	0.2901540711
51	0.2888360405
52	0.2866006205
53	0.2851035525
54	0.2833410106
55	0.2817142551
56	0.2803860658
57	0.2793085953
58	0.2780730865
59	0.2772728041
60	0.2763940455
61	0.2755751667
62	0.2742748196
63	0.2731200377
64	0.2720587689
65	0.2709879759
66	0.269676266
67	0.2682474211
68	0.2672862372
69	0.2668404633
70	0.2660764076
71	0.2647797774
72	0.2642737759
73	0.2628149248
74	0.2622467775
75	0.2615919301
76	0.2608137332
77	0.2601186933
78	0.2592209522
79	0.2585187078
80	0.257830092
81	0.2572744217
82	0.2570084078
83	0.2555635985
84	0.2550165868
85	0.2544134306
86	0.2535532262
87	0.2532508131
88	0.2526784824
89	0.2514826174
90	0.2506546333
91	0.2493244405
92	0.2483276107
93	0.2474763342
94	0.246807117
95	0.2460800269
96	0.2453270768
97	0.244960806
98	0.2442313476
99	0.2437313067
100	0.2430332659
101	0.2423055717
102	0.2413799699
103	0.2410583767
104	0.240291167
105	0.2397265728
106	0.2390148088
107	0.2383145767
108	0.2377011772
109	0.2370976284
110	0.23641509
111	0.2357113722
112	0.2350602611
113	0.2345633057
114	0.2339756293
115	0.23335106
116	0.2328229458
117	0.232303863
118	0.2314480096
119	0.230742014
120	0.2297463109
121	0.2288594603
122	0.2283759052
123	0.2280881268
124	0.2275421025
125	0.2270449586
126	0.2264470467
127	0.226132587
128	0.2256300067
129	0.2253987415
130	0.2247765598
131	0.2240478162
132	0.2235278553
133	0.2231012892
134	0.2228136219
135	0.222284823
136	0.2220446508
137	0.2214234841
138	0.2208525359
139	0.2202653992
140	0.2196551464
141	0.2193811075
142	0.2190819754
143	0.2185536117
144	0.2183189846
145	0.2176067887
146	0.2172559107
147	0.2164092533
148	0.21588235
149	0.2153698717
150	0.2149085086
151	0.2146163507
152	0.214265021
153	0.2139988164
154	0.2138718009
155	0.2134974034
156	0.2129822028
157	0.2126955641
158	0.2120646154
159	0.211510092
160	0.21105292
161	0.2100758908
162	0.2093031902
163	0.2090213789
164	0.2083740634
165	0.2081165573
166	0.2078206554
167	0.2075002468
168	0.2073364405
169	0.2069615465
170	0.2067160745
171	0.2059119867
172	0.2055068513
173	0.2052250771
174	0.2044488134
175	0.2039814328
176	0.2035338866
177	0.2032643674
178	0.2029751989
179	0.2025420439
180	0.2021059832
181	0.2018471301
182	0.2014465255
183	0.2011060354
184	0.2008559647
185	0.2006412168
186	0.2003407132
187	0.1999285459
188	0.1995861849
189	0.1992382375
190	0.1989913189
191	0.1986383786
192	0.1985174115
193	0.1980128536
194	0.1975229835
195	0.1969834587
196	0.1967037622
197	0.196255011
198	0.1958958904
199	0.1954698293
200	0.1952115467
201	0.194937497
202	0.1944248755
203	0.1938627567
204	0.1935050033
205	0.1930454815
206	0.1926920421
207	0.1923486518
208	0.1917770031
209	0.1915159418
210	0.1911733871
211	0.1907671809
212	0.190529413
213	0.1903513703
214	0.1901579253
215	0.1896791412
216	0.1895077875
217	0.1893536453
218	0.1891125599
219	0.188754597
220	0.1884436787
221	0.1879798793
222	0.1876640243
223	0.1873105581
224	0.1869394587
225	0.1866981229
226	0.1864770928
227	0.1859851865
228	0.1857569648
229	0.1856132406
230	0.1848996645
231	0.1842659195
232	0.1838296919
233	0.1836378361
234	0.1834520674
235	0.1827738255
236	0.1822846087
237	0.1817606841
238	0.1813897685
239	0.1811779283
240	0.1810265657
241	0.1807508966
242	0.1803686509
243	0.1801923
244	0.1796865104
245	0.1794365914
246	0.1790081226
247	0.1789167044
248	0.1785690638
249	0.1783405865
250	0.1780291416
251	0.1773743458
252	0.1773019131
253	0.1771056734
254	0.1767363032
255	0.1764516159
256	0.1759885238
257	0.1758186164
258	0.1755294914
259	0.174943189
260	0.1745576021
261	0.1742177006
262	0.17396887
263	0.1737265583
264	0.1735863319
265	0.1729873098
266	0.1728283198
267	0.1725441941
268	0.1723428692
269	0.1717085644
270	0.1715490694
271	0.1714406685
272	0.1712736791
273	0.1710022837
274	0.1708450113
275	0.170479248
276	0.1703259842
277	0.1701567026
278	0.1696581008
279	0.1694135834
280	0.1692236458
281	0.168912296
282	0.1687355469
283	0.1684781266
284	0.1682165264
285	0.1677843437
286	0.1673741831
287	0.1669109748
288	0.1665186091
289	0.1662649257
290	0.165993136
291	0.1655548542
292	0.1652585089
293	0.1651793514
294	0.1649264601
295	0.1647961969
296	0.164556142
297	0.1642266162
298	0.1639347753
299	0.1637441642
